geoid,loc_postalcode
9461,96149
9461,96110
9461,96154
9461,96173
9461,96146
9461,96158
9461,96052
9461,96050
9461,96129
9461,96167
9461,96135
9461,96155
9461,96138
9461,96178
9461,96179
9461,96185
9461,96196
9461,96161
9461,91332
9461,96187
9461,96114
9461,96148
9461,96132
9461,96049
9461,96163
9461,96120
9461,96191
9461,96164
9461,96194
9462,95447
9462,95444
9462,95445
9172,83451
9172,83457
9172,83416
9172,83404
9172,83364
9172,83395
9172,83317
9172,83410
9172,83435
9172,83454
9172,83458
9172,83487
9172,83471
9172,83486
9172,83483
6431,64686
6431,64625
6431,69509
6431,64658
6431,69518
6431,68647
6431,64653
6431,69488
6431,69239
6431,64646
6431,68519
6431,68623
6431,64678
6431,64668
6431,69517
6431,64673
6431,68649
6431,64683
6431,69483
6431,68642
11000,13505
11000,12157
11000,10557
11000,10781
11000,10625
11000,10707
11000,10783
11000,12351
11000,10119
11000,10779
11000,13407
11000,12043
11000,10369
11000,10365
11000,10318
11000,10317
11000,13129
11000,13089
11000,13469
11000,13437
11000,10551
11000,10437
11000,13597
11000,13403
11000,10627
11000,12623
11000,12459
11000,14165
11000,10553
11000,12687
11000,12353
11000,11011
11000,12347
11000,13503
11000,13187
11000,13627
11000,12047
11000,12105
11000,12163
11000,12169
11000,13629
11000,13353
11000,13405
11000,13159
11000,13158
11000,12279
11000,14089
11000,14169
11000,14131
11000,13057
11000,12685
11000,14195
11000,12627
11000,14199
11000,10709
11000,12107
11000,10407
11000,13349
11000,14163
11000,12529
11000,14052
11000,12524
11000,12439
11000,12355
11000,10789
11000,10115
11000,13409
11000,10409
11000,13507
11000,12167
11000,12101
11000,12099
11000,13589
11000,10623
11000,10825
11000,10585
11000,12207
11000,10559
11000,13467
11000,10367
11000,14050
11000,10319
11000,10555
11000,13435
11000,14055
11000,13127
11000,13593
11000,10315
11000,13359
11000,13439
11000,13599
11000,13583
11000,12059
11000,13587
11000,10179
11000,12681
11000,10243
11000,10961
11000,12587
11000,10823
11000,12165
11000,12349
11000,14129
11000,13595
11000,10247
11000,12309
11000,12629
11000,12435
11000,12161
11000,10629
11000,12209
11000,10435
11000,12203
11000,10787
11000,10249
11000,12487
11000,12489
11000,10829
11000,10785
11000,10439
11000,12359
11000,12619
11000,13156
11000,12437
11000,10965
11000,10719
11000,10245
11000,12159
11000,10777
11000,12589
11000,12103
11000,12057
11000,12527
11000,12559
11000,13351
11000,13051
11000,13088
11000,12247
11000,12307
11000,12249
11000,10587
11000,12557
11000,12055
11000,12526
11000,10589
11000,13465
11000,13509
11000,10999
11000,12049
11000,14197
11000,13585
11000,12051
11000,14057
11000,14167
11000,10711
11000,12357
11000,13355
11000,14109
11000,14059
11000,10969
11000,13347
11000,13055
11000,10717
11000,13581
11000,12679
11000,10405
11000,13086
11000,12109
11000,12621
11000,12045
11000,10997
11000,10827
11000,13591
11000,10967
11000,13053
11000,13189
11000,10713
11000,12689
11000,12205
11000,12305
11000,13047
11000,12053
11000,13059
11000,12555
11000,13357
11000,12277
11000,14193
11000,13125
11000,12683
11000,10963
11000,10117
11000,10715
11000,14053
5711,33609
5711,33607
5711,33613
5711,33617
5711,33649
5711,33739
5711,33619
5711,33647
5711,33689
5711,33519
5711,33611
5711,33719
5711,33605
5711,33659
5711,33602
5711,33699
5711,33729
5711,33604
5911,44809
5911,44805
5911,44892
5911,44795
5911,44807
5911,44867
5911,44866
5911,44869
5911,44789
5911,44879
5911,44801
5911,44803
5911,44797
5911,44793
5911,44894
5911,44787
5911,44791
8435,88097
8435,78354
8435,88085
8435,88697
8435,88094
8435,88045
8435,88046
8435,88690
8435,88633
8435,88048
8435,88662
8435,88677
8435,88069
8435,88086
8435,88718
8435,88696
8435,88099
8435,88090
8435,88719
8435,88074
8435,88693
8435,88079
8435,88682
8435,88709
5314,53229
5314,53227
5314,53113
5314,53115
5314,53117
5314,53225
5314,53173
5314,53175
5314,53111
5314,53129
5314,53127
5314,53177
5314,53179
5314,53119
5314,53125
5314,53121
5554,46359
5554,48619
5554,46325
5554,48712
5554,48599
5554,46348
5554,48624
5554,48691
5554,46342
5554,48683
5554,46419
5554,46397
5554,46399
5554,48703
5554,46354
5554,48734
5554,46414
5554,48739
5512,46238
5512,46236
5512,46240
5512,46244
4012,27576
4012,27580
4012,27578
4012,27574
4012,27572
4012,27568
15084,6679
15084,6724
15084,6727
15084,6688
15084,6628
15084,6722
15084,6648
15084,6638
15084,6642
15084,6618
15084,6725
15084,6712
15084,6729
15084,6682
15084,6647
15084,6636
15084,6632
15084,6721
15084,6667
8115,71034
8115,71139
8115,71229
8115,71111
8115,71101
8115,71069
8115,71093
8115,71116
8115,71131
