country_code,statisticalAreaCode,statisticalArea,year,population
GBR,UKH+UKJ,Rest of SouthEast,1925,6.996
GBR,UKK,SouthWest,1925,2.806
GBR,UKG,West Midlands,1925,3.596
GBR,UKF,East  Midlands,1925,2.686
GBR,UKC+UKD,North,1925,9.051
GBR,UKE,Yorks  & Humberside,1925,3.961
GBR,UKL,Wales,1925,2.631
GBR,UKM,Scotland,1925,4.867
GBR,UKN,Northern Ireland,1925,1.254
FRA,FR10,Île de France,1938,6.925
FRA,FR21,Champagne-Ardenne,1938,1.136
FRA,FR22,Picardie,1938,1.371
FRA,FR23,Haute-Normandie,1938,1.234
FRA,FR24,Centre,1938,1.731
FRA,FR25,Basse-Normandie,1938,1.129
FRA,FR26,Bourgogne,1938,1.393
FRA,FR30,Nord - Pas-de-Calais,1938,3.287
FRA,FR41,Lorraine,1938,1.908
FRA,FR42,Alsace,1938,1.21
FRA,FR43,Franche-Comté,1938,855.0
FRA,FR51,Pays de la Loire,1938,2.217
FRA,FR52,Bretagne,1938,2.367
FRA,FR53,Poitou-Charentes,1938,1.357
FRA,FR61,Aquitaine,1938,2.18
FRA,FR62,Midi-Pyrénées,1938,1.955
FRA,FR63,Limousin,1938,782.0
FRA,FR71,Rhône-Alpes,1938,3.646
FRA,FR72,Auvergne,1938,1.292
FRA,FR81,Languedoc-Roussillon,1938,1.518
FRA,FR82,Provence-Alpes-Côte d'Azur,1938,2.399
FRA,FR83,Corse,1938,278.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1938,1.86
DEU,DE12,"Karlsruhe, Regierungsbezirk",1938,1.317
DEU,DE13,"Freiburg, Regierungsbezirk",1938,1.234
DEU,DE14,"Tübingen, Regierungsbezirk",1938,1.066
DEU,DE21,"Oberbayern, Regierungsbezirk",1938,1.816
DEU,DE22,"Niederbayern, Regierungsbezirk",1938,825.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1938,687.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1938,827.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1938,1.089
DEU,DE26,"Unterfranken, Regierungsbezirk",1938,832.0
DEU,DE27,"Schwaben, Regierungsbezirk",1938,960.0
DEU,DE30,Berlin,1938,4.322
DEU,DE40,Brandenburg,1938,2.391
DEU,DE50,Bremen,1938,445.0
DEU,DE60,Hamburg,1938,1.698
DEU,DE71+DE72,Darmstadt and Giessen,1938,2.968
DEU,DE73,"Kassel, Regierungsbezirk",1938,1.111
DEU,DE80,Mecklenburg-Vorpommern,1938,1.773
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1938,2.208
DEU,DE93,Statistische Region Lüneburg,1938,1.11
DEU,DE94,Statistische Region Weser-Ems,1938,1.265
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1938,4.083
DEU,DEA2,"Köln, Regierungsbezirk",1938,2.242
DEU,DEA3,"Münster, Regierungsbezirk",1938,1.598
DEU,DEA4,"Detmold, Regierungsbezirk",1938,1.152
DEU,DEA5,"Arnsberg, Regierungsbezirk",1938,3.403
DEU,DEB1,Statistische Region Koblenz,1938,1.062
DEU,DEB2,Statistische Region Trier,1938,440.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1938,1.434
DEU,DEC0,Saarland,1938,824.0
DEU,DED2,"Dresden, NUTS 2-Region",1938,1.902
DEU,DED4,"Chemnitz, NUTS 2-Region",1938,2.259
DEU,DED5,"Leipzig, NUTS 2-Region",1938,1.358
DEU,DEE0,Sachsen-Anhalt,1938,3.34
DEU,DEF0,Schleswig-Holstein,1938,1.539
DEU,DEG0,Thüringen,1938,2.034
GBR,UKI,London Counties,1938,7.628
GBR,UKH+UKJ,Rest of SouthEast,1938,7.793
GBR,UKK,SouthWest,1938,2.913
GBR,UKG,West Midlands,1938,3.921
GBR,UKF,East  Midlands,1938,2.909
GBR,UKC+UKD,North,1938,9.307
GBR,UKE,Yorks  & Humberside,1938,4.379
GBR,UKL,Wales,1938,2.55
GBR,UKM,Scotland,1938,4.816
GBR,UKN,Northern Ireland,1938,1.282
FRA,FR10,Île de France,1950,7.317
FRA,FR21,Champagne-Ardenne,1950,1.133
FRA,FR22,Picardie,1950,1.386
FRA,FR23,Haute-Normandie,1950,1.274
FRA,FR24,Centre,1950,1.758
FRA,FR25,Basse-Normandie,1950,1.165
FRA,FR26,Bourgogne,1950,1.375
FRA,FR30,Nord - Pas-de-Calais,1950,3.376
FRA,FR41,Lorraine,1950,1.956
FRA,FR42,Alsace,1950,1.218
FRA,FR43,Franche-Comté,1950,856.0
FRA,FR51,Pays de la Loire,1950,2.32
FRA,FR52,Bretagne,1950,2.339
FRA,FR53,Poitou-Charentes,1950,1.393
FRA,FR61,Aquitaine,1950,2.209
FRA,FR62,Midi-Pyrénées,1950,1.975
FRA,FR63,Limousin,1950,740.0
FRA,FR71,Rhône-Alpes,1950,3.63
FRA,FR72,Auvergne,1950,1.247
FRA,FR81,Languedoc-Roussillon,1950,1.449
FRA,FR82,Provence-Alpes-Côte d'Azur,1950,2.415
FRA,FR83,Corse,1950,247.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1950,2.435
DEU,DE12,"Karlsruhe, Regierungsbezirk",1950,1.473
DEU,DE13,"Freiburg, Regierungsbezirk",1950,1.339
DEU,DE14,"Tübingen, Regierungsbezirk",1950,1.184
DEU,DE21,"Oberbayern, Regierungsbezirk",1950,2.456
DEU,DE22,"Niederbayern, Regierungsbezirk",1950,1.081
DEU,DE23,"Oberpfalz, Regierungsbezirk",1950,897.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1950,1.116
DEU,DE25,"Mittelfranken, Regierungsbezirk",1950,1.284
DEU,DE26,"Unterfranken, Regierungsbezirk",1950,1.038
DEU,DE27,"Schwaben, Regierungsbezirk",1950,1.312
DEU,DE30,Berlin,1950,3.336
DEU,DE40,Brandenburg,1950,2.746
DEU,DE50,Bremen,1950,559.0
DEU,DE60,Hamburg,1950,1.606
DEU,DE71+DE72,Darmstadt and Giessen,1950,3.063
DEU,DE73,"Kassel, Regierungsbezirk",1950,1.261
DEU,DE80,Mecklenburg-Vorpommern,1950,2.253
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1950,3.274
DEU,DE93,Statistische Region Lüneburg,1950,1.646
DEU,DE94,Statistische Region Weser-Ems,1950,1.877
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1950,4.302
DEU,DEA2,"Köln, Regierungsbezirk",1950,2.443
DEU,DEA3,"Münster, Regierungsbezirk",1950,1.91
DEU,DEA4,"Detmold, Regierungsbezirk",1950,1.5
DEU,DEA5,"Arnsberg, Regierungsbezirk",1950,3.042
DEU,DEB1,Statistische Region Koblenz,1950,1.14
DEU,DEB2,Statistische Region Trier,1950,429.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1950,1.436
DEU,DEC0,Saarland,1950,955.0
DEU,DED2,"Dresden, NUTS 2-Region",1950,1.981
DEU,DED4,"Chemnitz, NUTS 2-Region",1950,2.334
DEU,DED5,"Leipzig, NUTS 2-Region",1950,1.652
DEU,DEE0,Sachsen-Anhalt,1950,3.641
DEU,DEF0,Schleswig-Holstein,1950,2.595
DEU,DEG0,Thüringen,1950,2.693
GBR,UKI,London Counties,1950,7.22
GBR,UKH+UKJ,Rest of SouthEast,1950,9.142
GBR,UKK,SouthWest,1950,3.312
GBR,UKG,West Midlands,1950,4.423
GBR,UKF,East  Midlands,1950,3.196
GBR,UKC+UKD,North,1950,9.517
GBR,UKE,Yorks  & Humberside,1950,4.349
GBR,UKL,Wales,1950,2.599
GBR,UKM,Scotland,1950,5.096
GBR,UKN,Northern Ireland,1950,1.371
FRA,FR10,Île de France,1960,8.47
FRA,FR21,Champagne-Ardenne,1960,1.206
FRA,FR22,Picardie,1960,1.481
FRA,FR23,Haute-Normandie,1960,1.398
FRA,FR24,Centre,1960,1.858
FRA,FR25,Basse-Normandie,1960,1.208
FRA,FR26,Bourgogne,1960,1.439
FRA,FR30,Nord - Pas-de-Calais,1960,3.66
FRA,FR41,Lorraine,1960,2.194
FRA,FR42,Alsace,1960,1.318
FRA,FR43,Franche-Comté,1960,929.0
FRA,FR51,Pays de la Loire,1960,2.462
FRA,FR52,Bretagne,1960,2.397
FRA,FR53,Poitou-Charentes,1960,1.45
FRA,FR61,Aquitaine,1960,2.312
FRA,FR62,Midi-Pyrénées,1960,2.061
FRA,FR63,Limousin,1960,734.0
FRA,FR71,Rhône-Alpes,1960,4.019
FRA,FR72,Auvergne,1960,1.273
FRA,FR81,Languedoc-Roussillon,1960,1.555
FRA,FR82,Provence-Alpes-Côte d'Azur,1960,2.819
FRA,FR83,Corse,1960,181.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1960,3.038
DEU,DE12,"Karlsruhe, Regierungsbezirk",1960,1.697
DEU,DE13,"Freiburg, Regierungsbezirk",1960,1.626
DEU,DE14,"Tübingen, Regierungsbezirk",1960,1.398
DEU,DE21,"Oberbayern, Regierungsbezirk",1960,2.755
