country_code,statisticalAreaCode,statisticalArea,year,gdp
DEU,DEA4,"Detmold, Regierungsbezirk",1910,2803.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1910,7922.0
DEU,DEB1,Statistische Region Koblenz,1910,3837.0
DEU,DEB2,Statistische Region Trier,1910,1221.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1910,4155.0
DEU,DEC0,Saarland,1910,2613.0
DEU,DED2,"Dresden, NUTS 2-Region",1910,5987.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1910,6984.0
DEU,DED5,"Leipzig, NUTS 2-Region",1910,4273.0
DEU,DEE0,Sachsen-Anhalt,1910,7708.0
DEU,DEF0,Schleswig-Holstein,1910,4146.0
DEU,DEG0,Thüringen,1910,6145.0
GBR,UKI,London Counties,1910,41420.0
GBR,UKH+UKJ,Rest of SouthEast,1910,32307.0
GBR,UKK,SouthWest,1910,12219.0
GBR,UKG,West Midlands,1910,13461.0
GBR,UKF,East  Midlands,1910,11183.0
GBR,UKC+UKD,North,1910,39556.0
GBR,UKE,Yorks  & Humberside,1910,15947.0
GBR,UKL,Wales,1910,9112.0
GBR,UKM,Scotland,1910,19881.0
GBR,UKN,Northern Ireland,1910,3662.0
FRA,FR10,Île de France,1925,42120.0
FRA,FR21,Champagne-Ardenne,1925,4531.0
FRA,FR22,Picardie,1925,4857.0
FRA,FR23,Haute-Normandie,1925,4968.0
FRA,FR24,Centre,1925,6092.0
FRA,FR25,Basse-Normandie,1925,3696.0
FRA,FR26,Bourgogne,1925,5107.0
FRA,FR30,Nord - Pas-de-Calais,1925,11243.0
FRA,FR41,Lorraine,1925,7205.0
FRA,FR42,Alsace,1925,4918.0
FRA,FR43,Franche-Comté,1925,3307.0
FRA,FR51,Pays de la Loire,1925,7750.0
FRA,FR52,Bretagne,1925,6056.0
FRA,FR53,Poitou-Charentes,1925,4711.0
FRA,FR61,Aquitaine,1925,7711.0
FRA,FR62,Midi-Pyrénées,1925,6472.0
FRA,FR63,Limousin,1925,2755.0
FRA,FR71,Rhône-Alpes,1925,14713.0
FRA,FR72,Auvergne,1925,4350.0
FRA,FR81,Languedoc-Roussillon,1925,5260.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1925,10728.0
FRA,FR83,Corse,1925,563.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1925,6202.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1925,5776.0
DEU,DE13,"Freiburg, Regierungsbezirk",1925,3435.0
DEU,DE14,"Tübingen, Regierungsbezirk",1925,2877.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1925,5869.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1925,1434.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1925,1440.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1925,2275.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1925,3779.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1925,2332.0
DEU,DE27,"Schwaben, Regierungsbezirk",1925,2653.0
DEU,DE30,Berlin,1925,22122.0
DEU,DE40,Brandenburg,1925,6781.0
DEU,DE50,Bremen,1925,2079.0
DEU,DE60,Hamburg,1925,7901.0
DEU,DE71+DE72,Darmstadt and Giessen,1925,8192.0
DEU,DE73,"Kassel, Regierungsbezirk",1925,2975.0
DEU,DE80,Mecklenburg-Vorpommern,1925,3424.0
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1925,6458.0
DEU,DE93,Statistische Region Lüneburg,1925,2506.0
DEU,DE94,Statistische Region Weser-Ems,1925,3377.0
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1925,16725.0
DEU,DEA2,"Köln, Regierungsbezirk",1925,8982.0
DEU,DEA3,"Münster, Regierungsbezirk",1925,5367.0
DEU,DEA4,"Detmold, Regierungsbezirk",1925,3832.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1925,9672.0
DEU,DEB1,Statistische Region Koblenz,1925,3757.0
DEU,DEB2,Statistische Region Trier,1925,1452.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1925,5013.0
DEU,DEC0,Saarland,1925,3031.0
DEU,DED2,"Dresden, NUTS 2-Region",1925,8082.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1925,8765.0
DEU,DED5,"Leipzig, NUTS 2-Region",1925,5549.0
DEU,DEE0,Sachsen-Anhalt,1925,9334.0
DEU,DEF0,Schleswig-Holstein,1925,4389.0
DEU,DEG0,Thüringen,1925,7277.0
GBR,UKI,London Counties,1925,50338.0
GBR,UKH+UKJ,Rest of SouthEast,1925,37355.0
GBR,UKK,SouthWest,1925,13430.0
GBR,UKG,West Midlands,1925,16409.0
GBR,UKF,East  Midlands,1925,12283.0
GBR,UKC+UKD,North,1925,43427.0
GBR,UKE,Yorks  & Humberside,1925,18693.0
GBR,UKL,Wales,1925,10815.0
GBR,UKM,Scotland,1925,23608.0
GBR,UKN,Northern Ireland,1925,4798.0
FRA,FR10,Île de France,1938,49209.0
FRA,FR21,Champagne-Ardenne,1938,5243.0
FRA,FR22,Picardie,1938,5947.0
FRA,FR23,Haute-Normandie,1938,5616.0
FRA,FR24,Centre,1938,6519.0
FRA,FR25,Basse-Normandie,1938,4231.0
FRA,FR26,Bourgogne,1938,5226.0
FRA,FR30,Nord - Pas-de-Calais,1938,14842.0
FRA,FR41,Lorraine,1938,8079.0
FRA,FR42,Alsace,1938,5950.0
FRA,FR43,Franche-Comté,1938,2930.0
FRA,FR51,Pays de la Loire,1938,7594.0
FRA,FR52,Bretagne,1938,6650.0
FRA,FR53,Poitou-Charentes,1938,4505.0
FRA,FR61,Aquitaine,1938,8161.0
FRA,FR62,Midi-Pyrénées,1938,6770.0
FRA,FR63,Limousin,1938,2535.0
FRA,FR71,Rhône-Alpes,1938,16008.0
FRA,FR72,Auvergne,1938,4707.0
FRA,FR81,Languedoc-Roussillon,1938,6141.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1938,10537.0
FRA,FR83,Corse,1938,562.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1938,9751.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1938,8357.0
DEU,DE13,"Freiburg, Regierungsbezirk",1938,5871.0
DEU,DE14,"Tübingen, Regierungsbezirk",1938,4541.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1938,9144.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1938,2396.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1938,2115.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1938,3921.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1938,5521.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1938,3672.0
DEU,DE27,"Schwaben, Regierungsbezirk",1938,4220.0
DEU,DE30,Berlin,1938,32741.0
DEU,DE40,Brandenburg,1938,11955.0
DEU,DE50,Bremen,1938,2883.0
DEU,DE60,Hamburg,1938,10542.0
DEU,DE71+DE72,Darmstadt and Giessen,1938,13128.0
DEU,DE73,"Kassel, Regierungsbezirk",1938,4522.0
DEU,DE80,Mecklenburg-Vorpommern,1938,7195.0
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1938,11062.0
DEU,DE93,Statistische Region Lüneburg,1938,4263.0
DEU,DE94,Statistische Region Weser-Ems,1938,6285.0
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1938,23411.0
DEU,DEA2,"Köln, Regierungsbezirk",1938,12009.0
DEU,DEA3,"Münster, Regierungsbezirk",1938,7816.0
DEU,DEA4,"Detmold, Regierungsbezirk",1938,5557.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1938,13103.0
DEU,DEB1,Statistische Region Koblenz,1938,4961.0
DEU,DEB2,Statistische Region Trier,1938,1896.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1938,7481.0
DEU,DEC0,Saarland,1938,3997.0
DEU,DED2,"Dresden, NUTS 2-Region",1938,12081.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1938,11928.0
DEU,DED5,"Leipzig, NUTS 2-Region",1938,8033.0
DEU,DEE0,Sachsen-Anhalt,1938,17078.0
DEU,DEF0,Schleswig-Holstein,1938,7229.0
DEU,DEG0,Thüringen,1938,12298.0
GBR,UKI,London Counties,1938,72063.0
GBR,UKH+UKJ,Rest of SouthEast,1938,57991.0
GBR,UKK,SouthWest,1938,17183.0
GBR,UKG,West Midlands,1938,26455.0
GBR,UKF,East  Midlands,1938,15760.0
GBR,UKC+UKD,North,1938,40955.0
GBR,UKE,Yorks  & Humberside,1938,22731.0
GBR,UKL,Wales,1938,13559.0
GBR,UKM,Scotland,1938,29220.0
GBR,UKN,Northern Ireland,1938,5053.0
FRA,FR10,Île de France,1950,63954.0
FRA,FR21,Champagne-Ardenne,1950,5106.0
FRA,FR22,Picardie,1950,5910.0
FRA,FR23,Haute-Normandie,1950,5976.0
FRA,FR24,Centre,1950,7501.0
FRA,FR25,Basse-Normandie,1950,4925.0
FRA,FR26,Bourgogne,1950,6711.0
FRA,FR30,Nord - Pas-de-Calais,1950,15164.0
FRA,FR41,Lorraine,1950,9132.0
FRA,FR42,Alsace,1950,6087.0
FRA,FR43,Franche-Comté,1950,4111.0
FRA,FR51,Pays de la Loire,1950,9513.0
FRA,FR52,Bretagne,1950,8709.0
FRA,FR53,Poitou-Charentes,1950,4291.0
FRA,FR61,Aquitaine,1950,9756.0
FRA,FR62,Midi-Pyrénées,1950,7762.0
FRA,FR63,Limousin,1950,2775.0
FRA,FR71,Rhône-Alpes,1950,19516.0
FRA,FR72,Auvergne,1950,5396.0
FRA,FR81,Languedoc-Roussillon,1950,5287.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1950,12276.0
FRA,FR83,Corse,1950,635.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1950,11939.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1950,9286.0
