country_code,country,source1,source2,year,exports
AUH,Austria-Hungary,1.0,1.0,1883,300.350006103516
AUH,Austria-Hungary,1.0,1.0,1884,275.209991455078
AUH,Austria-Hungary,1.0,1.0,1885,273.211395263672
AUH,Austria-Hungary,1.0,1.0,1886,533.206115722656
AUH,Austria-Hungary,1.0,1.0,1887,506.015045166016
AUH,Austria-Hungary,1.0,1.0,1888,546.067443847656
AUH,Austria-Hungary,1.0,1.0,1889,302.845855712891
AUH,Austria-Hungary,1.0,1.0,1890,308.55999755859403
AUH,Austria-Hungary,1.0,1.0,1891,326.80499267578097
AUH,Austria-Hungary,1.0,1.0,1892,146.774841308594
AUH,Austria-Hungary,1.0,1.0,1893,162.109527587891
AUH,Austria-Hungary,1.0,1.0,1894,142.65383911132798
AUH,Austria-Hungary,1.0,1.0,1895,150.58366394043
AUH,Austria-Hungary,1.0,1.0,1896,307.142852783203
AUH,Austria-Hungary,1.0,1.0,1897,304.57257080078097
AUH,Austria-Hungary,1.0,1.0,1898,320.436492919922
AUH,Austria-Hungary,1.0,1.0,1899,367.258392333984
AUH,Austria-Hungary,1.0,1.0,1900,189.6484375
AUH,Austria-Hungary,1.0,1.0,1901,373.267333984375
AUH,Austria-Hungary,1.0,1.0,1902,382.03591918945295
AUH,Austria-Hungary,1.0,1.0,1903,425.14968872070295
AUH,Austria-Hungary,1.0,1.0,1904,420.321929931641
AUH,Austria-Hungary,1.0,1.0,1905,454.36105346679705
AUH,Austria-Hungary,1.0,1.0,1906,481.781372070312
AUH,Austria-Hungary,1.0,1.0,1907,496.363647460938
AUH,Austria-Hungary,1.0,1.0,1908,455.555541992188
AUH,Austria-Hungary,1.0,1.0,1909,470.385406494141
AUH,Austria-Hungary,1.0,1.0,1910,503.875
AUH,Austria-Hungary,1.0,1.0,1911,484.677429199219
AUH,Austria-Hungary,1.0,1.0,1912,551.209655761719
AUH,Austria-Hungary,1.0,1.0,1913,556.224914550781
AUH,Austria-Hungary,1.0,1.0,1914,
AUH,Austria-Hungary,1.0,1.0,1915,
AUH,Austria-Hungary,1.0,1.0,1916,
AUH,Austria-Hungary,1.0,1.0,1917,
AUH,Austria-Hungary,1.0,1.0,1918,
AUH,Austria-Hungary,1.0,1.0,1919,
AUH,Austria-Hungary,1.0,1.0,1920,
AUH,Austria-Hungary,1.0,1.0,1921,
AUH,Austria-Hungary,1.0,1.0,1922,
AUH,Austria-Hungary,1.0,1.0,1923,
AUH,Austria-Hungary,1.0,1.0,1924,
