country,key,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
USA,AZ.Maricopa,Arizona,AZ,Phoenix,,Maricopa,04013
USA,AZ.Mohave,Arizona,AZ,Las Vegas,,Mohave,04015
USA,AZ.Navajo,Arizona,AZ,Gallup,,Navajo,04017
USA,AZ.Pima,Arizona,AZ,Tucson,,Pima,04019
USA,AZ.Pinal,Arizona,AZ,Phoenix,,Pinal,04021
USA,AZ.SantaCruz,Arizona,AZ,Tucson,,Santa Cruz,04023
USA,AZ.Yavapai,Arizona,AZ,Flagstaff,,Yavapai,04025
USA,AZ.Yuma,Arizona,AZ,Yuma,,Yuma,04027
USA,AR.Arkansas,Arkansas,AR,Stuttgart,,Arkansas,05001
USA,AR.Ashley,Arkansas,AR,Crossett,,Ashley,05003
USA,AR.Baxter,Arkansas,AR,Mountain Home,,Baxter,05005
USA,AR.Benton,Arkansas,AR,Fayetteville,,Benton,05007
USA,AR.Boone,Arkansas,AR,Harrison,,Boone,05009
USA,AR.Bradley,Arkansas,AR,Pine Bluff,,Bradley,05011
USA,AR.Calhoun,Arkansas,AR,El Dorado,,Calhoun,05013
USA,AR.Carroll,Arkansas,AR,Harrison,,Carroll,05015
USA,AR.Chicot,Arkansas,AR,Pine Bluff,,Chicot,05017
USA,AR.Clark,Arkansas,AR,Hot Springs,,Clark,05019
USA,AR.Clay,Arkansas,AR,Jonesboro,,Clay,05021
USA,AR.Cleburne,Arkansas,AR,Heber Springs,,Cleburne,05023
USA,AR.Cleveland,Arkansas,AR,Pine Bluff,,Cleveland,05025
USA,AR.Columbia,Arkansas,AR,Magnolia,,Columbia,05027
USA,AR.Conway,Arkansas,AR,Little Rock,,Conway,05029
USA,AR.Craighead,Arkansas,AR,Jonesboro,,Craighead,05031
USA,AR.Crawford,Arkansas,AR,Fort Smith,,Crawford,05033
USA,AR.Crittenden,Arkansas,AR,West Memphis,,Crittenden,05035
USA,AR.Cross,Arkansas,AR,West Memphis,,Cross,05037
USA,AR.Dallas,Arkansas,AR,El Dorado,,Dallas,05039
USA,AR.Desha,Arkansas,AR,Pine Bluff,,Desha,05041
USA,AR.Drew,Arkansas,AR,Pine Bluff,,Drew,05043
USA,AR.Faulkner,Arkansas,AR,Little Rock,,Faulkner,05045
USA,AR.Franklin,Arkansas,AR,Russellville,,Franklin,05047
USA,AR.Fulton,Arkansas,AR,West Plains,,Fulton,05049
USA,AR.Garland,Arkansas,AR,Hot Springs,,Garland,05051
USA,AR.Grant,Arkansas,AR,Little Rock,,Grant,05053
USA,AR.Greene,Arkansas,AR,Jonesboro,,Greene,05055
USA,AR.Hempstead,Arkansas,AR,Hot Springs,,Hempstead,05057
USA,AR.HotSpring,Arkansas,AR,Hot Springs,,Hot Spring,05059
USA,AR.Howard,Arkansas,AR,Hot Springs,,Howard,05061
USA,AR.Independence,Arkansas,AR,Batesville,,Independence,05063
USA,AR.Izard,Arkansas,AR,Batesville,,Izard,05065
USA,AR.Jackson,Arkansas,AR,Searcy,,Jackson,05067
USA,AR.Jefferson,Arkansas,AR,Pine Bluff,,Jefferson,05069
USA,AR.Johnson,Arkansas,AR,Russellville,,Johnson,05071
USA,AR.Lafayette,Arkansas,AR,Magnolia,,Lafayette,05073
USA,AR.Lawrence,Arkansas,AR,Jonesboro,,Lawrence,05075
USA,AR.Lee,Arkansas,AR,West Memphis,,Lee,05077
USA,AR.Lincoln,Arkansas,AR,Pine Bluff,,Lincoln,05079
USA,AR.LittleRiver,Arkansas,AR,Texarkana,,Little River,05081
USA,AR.Logan,Arkansas,AR,Russellville,,Logan,05083
USA,AR.Lonoke,Arkansas,AR,Little Rock,,Lonoke,05085
USA,AR.Madison,Arkansas,AR,Fayetteville,,Madison,05087
USA,AR.Marion,Arkansas,AR,Mountain Home,,Marion,05089
USA,AR.Miller,Arkansas,AR,Texarkana,,Miller,05091
USA,AR.Mississippi,Arkansas,AR,Blytheville,,Mississippi,05093
USA,AR.Monroe,Arkansas,AR,Stuttgart,,Monroe,05095
USA,AR.Montgomery,Arkansas,AR,Hot Springs,,Montgomery,05097
USA,AR.Nevada,Arkansas,AR,Hot Springs,,Nevada,05099
USA,AR.Newton,Arkansas,AR,Harrison,,Newton,05101
USA,AR.Ouachita,Arkansas,AR,El Dorado,,Ouachita,05103
USA,AR.Perry,Arkansas,AR,Little Rock,,Perry,05105
USA,AR.Phillips,Arkansas,AR,West Memphis,,Phillips,05107
USA,AR.Pike,Arkansas,AR,Hot Springs,,Pike,05109
USA,AR.Poinsett,Arkansas,AR,Jonesboro,,Poinsett,05111
USA,AR.Polk,Arkansas,AR,Idabel,,Polk,05113
USA,AR.Pope,Arkansas,AR,Russellville,,Pope,05115
USA,AR.Prairie,Arkansas,AR,Stuttgart,,Prairie,05117
USA,AR.Pulaski,Arkansas,AR,Little Rock,,Pulaski,05119
USA,AR.Randolph,Arkansas,AR,Jonesboro,,Randolph,05121
USA,AR.Saline,Arkansas,AR,Little Rock,,Saline,05125
USA,AR.Scott,Arkansas,AR,Fort Smith,,Scott,05127
USA,AR.Searcy,Arkansas,AR,Harrison,,Searcy,05129
USA,AR.Sebastian,Arkansas,AR,Fort Smith,,Sebastian,05131
USA,AR.Sevier,Arkansas,AR,Idabel,,Sevier,05133
USA,AR.Sharp,Arkansas,AR,Batesville,,Sharp,05135
USA,AR.StFrancis,Arkansas,AR,West Memphis,,St Francis,05123
USA,AR.Stone,Arkansas,AR,Heber Springs,,Stone,05137
USA,AR.Union,Arkansas,AR,El Dorado,,Union,05139
USA,AR.VanBuren,Arkansas,AR,Heber Springs,,Van Buren,05141
USA,AR.Washington,Arkansas,AR,Fayetteville,,Washington,05143
USA,AR.White,Arkansas,AR,Searcy,,White,05145
USA,AR.Woodruff,Arkansas,AR,Searcy,,Woodruff,05147
USA,AR.Yell,Arkansas,AR,Russellville,,Yell,05149
USA,CA.Alameda,California,CA,San Francisco,,Alameda,06001
USA,CA.Alpine,California,CA,Sacramento,,Alpine,06003
USA,CA.Amador,California,CA,Sacramento,,Amador,06005
USA,CA.Butte,California,CA,Chico,,Butte,06007
USA,CA.Calaveras,California,CA,Sacramento,,Calaveras,06009
USA,CA.Colusa,California,CA,Chico,,Colusa,06011
USA,CA.ContraCosta,California,CA,San Francisco,,Contra Costa,06013
USA,CA.DelNorte,California,CA,Crescent City,,Del Norte,06015
USA,CA.ElDorado,California,CA,Sacramento,,El Dorado,06017
USA,CA.Fresno,California,CA,Fresno,,Fresno,06019
USA,CA.Glenn,California,CA,Chico,,Glenn,06021
USA,CA.Humboldt,California,CA,Eureka,,Humboldt,06023
USA,CA.Imperial,California,CA,Yuma,,Imperial,06025
USA,CA.Inyo,California,CA,Mammoth Lakes,,Inyo,06027
USA,CA.Kern,California,CA,Bakersfield,,Kern,06029
USA,CA.Kings,California,CA,Fresno,,Kings,06031
USA,CA.Lake,California,CA,Santa Rosa,,Lake,06033
USA,CA.Lassen,California,CA,Klamath Falls,,Lassen,06035
USA,CA.LosAngeles,California,CA,Los Angeles,,Los Angeles,06037
USA,CA.Madera,California,CA,Fresno,,Madera,06039
USA,CA.Marin,California,CA,San Francisco,,Marin,06041
USA,CA.Mariposa,California,CA,Modesto,,Mariposa,06043
USA,CA.Mendocino,California,CA,Santa Rosa,,Mendocino,06045
USA,CA.Merced,California,CA,Modesto,,Merced,06047
USA,CA.Modoc,California,CA,Klamath Falls,,Modoc,06049
USA,CA.Mono,California,CA,Mammoth Lakes,,Mono,06051
USA,CA.Monterey,California,CA,San Jose,,Monterey,06053
USA,CA.Napa,California,CA,San Francisco,,Napa,06055
USA,CA.Nevada,California,CA,Sacramento,,Nevada,06057
USA,CA.Orange,California,CA,Los Angeles,,Orange,06059
USA,CA.Placer,California,CA,Sacramento,,Placer,06061
USA,CA.Plumas,California,CA,Portola,,Plumas,06063
USA,CA.Riverside,California,CA,Los Angeles,,Riverside,06065
USA,CA.Sacramento,California,CA,Sacramento,,Sacramento,06067
USA,CA.SanBenito,California,CA,San Jose,,San Benito,06069
USA,CA.SanBernardino,California,CA,Los Angeles,,San Bernardino,06071
USA,CA.SanDiego,California,CA,San Diego,,San Diego,06073
USA,CA.SanFrancisco,California,CA,San Francisco,,San Francisco,06075
USA,CA.SanJoaquin,California,CA,Sacramento,,San Joaquin,06077
USA,CA.SanLuisObispo,California,CA,Santa Barbara,,San Luis Obispo,06079
USA,CA.SanMateo,California,CA,San Francisco,,San Mateo,06081
USA,CA.SantaBarbara,California,CA,Santa Barbara,,Santa Barbara,06083
USA,CA.SantaClara,California,CA,San Jose,,Santa Clara,06085
USA,CA.Stanford,California,CA,San Jose,,Santa Clara,06085
USA,CA.SantaCruz,California,CA,San Jose,,Santa Cruz,06087
USA,CA.Shasta,California,CA,Redding,,Shasta,06089
USA,CA.Sierra,California,CA,Portola,,Sierra,06091
USA,CA.Siskiyou,California,CA,Klamath Falls,,Siskiyou,06093
USA,CA.Solano,California,CA,San Francisco,,Solano,06095
USA,CA.Sonoma,California,CA,Santa Rosa,,Sonoma,06097
USA,CA.Stanislaus,California,CA,Modesto,,Stanislaus,06099
USA,CA.Sutter,California,CA,Chico,,Sutter,06101
USA,CA.Tehama,California,CA,Redding,,Tehama,06103
USA,CA.Trinity,California,CA,Eureka,,Trinity,06105
USA,CA.Tulare,California,CA,Fresno,,Tulare,06107
USA,CA.Tuolumne,California,CA,Modesto,,Tuolumne,06109
USA,CA.Ventura,California,CA,Los Angeles,,Ventura,06111
USA,CA.Yolo,California,CA,Sacramento,,Yolo,06113
USA,CA.Yuba,California,CA,Chico,,Yuba,06115
USA,CO.Adams,Colorado,CO,Denver,,Adams,08001
USA,CO.Alamosa,Colorado,CO,Alamosa,,Alamosa,08003
USA,CO.Arapahoe,Colorado,CO,Denver,,Arapahoe,08005
USA,CO.Archuleta,Colorado,CO,Farmington,,Archuleta,08007
USA,CO.Baca,Colorado,CO,Springfield,,Baca,08009
USA,CO.Bent,Colorado,CO,Pueblo,,Bent,08011
USA,CO.Boulder,Colorado,CO,Denver,,Boulder,08013
USA,CO.Broomfield,Colorado,CO,,,,08014
USA,CO.Chaffee,Colorado,CO,Salida,,Chaffee,08015
USA,CO.Cheyenne,Colorado,CO,Burlington,,Cheyenne,08017
USA,CO.ClearCreek,Colorado,CO,Denver,,Clear Creek,08019
USA,CO.Conejos,Colorado,CO,Alamosa,,Conejos,08021
USA,CO.Costilla,Colorado,CO,Alamosa,,Costilla,08023
USA,CO.Crowley,Colorado,CO,Pueblo,,Crowley,08025
USA,CO.Custer,Colorado,CO,Colorado Springs,,Custer,08027
USA,CO.Delta,Colorado,CO,Grand Junction,,Delta,08029
USA,CO.Denver,Colorado,CO,Denver,,Denver,08031
USA,CO.Dolores,Colorado,CO,Cortez,,Dolores,08033
USA,CO.Douglas,Colorado,CO,Denver,,Douglas,08035
USA,CO.Eagle,Colorado,CO,Glenwood Springs,,Eagle,08037
USA,CO.ElPaso,Colorado,CO,Colorado Springs,,El Paso,08041
USA,CO.Elbert,Colorado,CO,Denver,,Elbert,08039
USA,CO.Fremont,Colorado,CO,Colorado Springs,,Fremont,08043
USA,CO.Garfield,Colorado,CO,Glenwood Springs,,Garfield,08045
USA,CO.Gilpin,Colorado,CO,Denver,,Gilpin,08047
USA,CO.Grand,Colorado,CO,Granby,,Grand,08049
USA,CO.Gunnison,Colorado,CO,Gunnison,,Gunnison,08051
USA,CO.Hinsdale,Colorado,CO,Gunnison,,Hinsdale,08053
USA,CO.Huerfano,Colorado,CO,Trinidad,,Huerfano,08055
USA,CO.Jackson,Colorado,CO,Laramie,,Jackson,08057
USA,CO.Jefferson,Colorado,CO,Denver,,Jefferson,08059
USA,CO.Kiowa,Colorado,CO,Burlington,,Kiowa,08061
USA,CO.KitCarson,Colorado,CO,Burlington,,Kit Carson,08063
USA,CO.LaPlata,Colorado,CO,Farmington,,La Plata,08067
USA,CO.Lake,Colorado,CO,Glenwood Springs,,Lake,08065
USA,CO.Larimer,Colorado,CO,Fort Collins,,Larimer,08069
USA,CO.LasAnimas,Colorado,CO,Trinidad,,Las Animas,08071
USA,CO.Lincoln,Colorado,CO,Limon,,Lincoln,08073
USA,CO.Logan,Colorado,CO,Sterling,,Logan,08075
USA,CO.Mesa,Colorado,CO,Grand Junction,,Mesa,08077
USA,CO.Mineral,Colorado,CO,Alamosa,,Mineral,08079
USA,CO.Moffat,Colorado,CO,Steamboat Springs,,Moffat,08081
USA,CO.Montezuma,Colorado,CO,Cortez,,Montezuma,08083
USA,CO.Montrose,Colorado,CO,Grand Junction,,Montrose,08085
USA,CO.Morgan,Colorado,CO,Fort Collins,,Morgan,08087
USA,CO.Otero,Colorado,CO,Pueblo,,Otero,08089
USA,CO.Ouray,Colorado,CO,Grand Junction,,Ouray,08091
USA,CO.Park,Colorado,CO,Denver,,Park,08093
USA,CO.Phillips,Colorado,CO,Sterling,,Phillips,08095
USA,CO.Pitkin,Colorado,CO,Glenwood Springs,,Pitkin,08097
USA,CO.Prowers,Colorado,CO,Pueblo,,Prowers,08099
USA,CO.Pueblo,Colorado,CO,Pueblo,,Pueblo,08101
USA,CO.RioBlanco,Colorado,CO,Steamboat Springs,,Rio Blanco,08103
USA,CO.RioGrande,Colorado,CO,Alamosa,,Rio Grande,08105
USA,CO.Routt,Colorado,CO,Steamboat Springs,,Routt,08107
USA,CO.Saguache,Colorado,CO,Alamosa,,Saguache,08109
USA,CO.SanJuan,Colorado,CO,Farmington,,San Juan,08111
USA,CO.SanMiguel,Colorado,CO,Grand Junction,,San Miguel,08113
USA,CO.Sedgwick,Colorado,CO,Ogallala,,Sedgwick,08115
USA,CO.Summit,Colorado,CO,Glenwood Springs,,Summit,08117
USA,CO.Teller,Colorado,CO,Colorado Springs,,Teller,08119
USA,CO.Washington,Colorado,CO,Sterling,,Washington,08121
USA,CO.Weld,Colorado,CO,Fort Collins,,Weld,08123
USA,CO.Yuma,Colorado,CO,Sterling,,Yuma,08125
USA,CT.Fairfield,Connecticut,CT,Bridgeport,,Fairfield,09001
USA,CT.Hartford,Connecticut,CT,Bridgeport,,Hartford,09003
USA,CT.Litchfield,Connecticut,CT,Bridgeport,,Litchfield,09005
USA,CT.Middlesex,Connecticut,CT,Bridgeport,,Middlesex,09007
USA,CT.NewHaven,Connecticut,CT,Bridgeport,,New Haven,09009
USA,CT.NewLondon,Connecticut,CT,Bridgeport,,New London,09011
USA,CT.Tolland,Connecticut,CT,Bridgeport,,Tolland,09013
USA,CT.Windham,Connecticut,CT,Bridgeport,,Windham,09015
USA,DE.Kent,Delaware,DE,Dover,,Kent,10001
USA,DE.NewCastle,Delaware,DE,Wilmington,,New Castle,10003
USA,DE.Sussex,Delaware,DE,Dover,,Sussex,10005
USA,FL.Alachua,Florida,FL,Gainesville,,Alachua,12001
USA,FL.Baker,Florida,FL,Jacksonville,,Baker,12003
USA,FL.Bay,Florida,FL,Panama City,,Bay,12005
USA,FL.Bradford,Florida,FL,Gainesville,,Bradford,12007
USA,FL.Brevard,Florida,FL,Palm Bay,,Brevard,12009
USA,FL.Broward,Florida,FL,Miami,,Broward,12011
USA,FL.Calhoun,Florida,FL,Tallahassee,,Calhoun,12013
USA,FL.Charlotte,Florida,FL,Sarasota,,Charlotte,12015
USA,FL.Citrus,Florida,FL,Ocala,,Citrus,12017
USA,FL.Clay,Florida,FL,Jacksonville,,Clay,12019
USA,FL.Collier,Florida,FL,Cape Coral,,Collier,12021
USA,FL.Columbia,Florida,FL,Lake City,,Columbia,12023
USA,FL.Desoto,Florida,FL,Sarasota,,De Soto,12027
USA,FL.Dixie,Florida,FL,Gainesville,,Dixie,12029
USA,FL.Duval,Florida,FL,Jacksonville,,Duval,12031
USA,FL.Escambia,Florida,FL,Pensacola,,Escambia,12033
USA,FL.Flagler,Florida,FL,Deltona,,Flagler,12035
USA,FL.Franklin,Florida,FL,Panama City,,Franklin,12037
USA,FL.Gadsden,Florida,FL,Tallahassee,,Gadsden,12039
USA,FL.Gilchrist,Florida,FL,Gainesville,,Gilchrist,12041
USA,FL.Glades,Florida,FL,Port St. Lucie,,Glades,12043
USA,FL.Gulf,Florida,FL,Panama City,,Gulf,12045
USA,FL.Hamilton,Florida,FL,Lake City,,Hamilton,12047
