nutsCode,nuts,area
26503,Sioux Falls,3003.8201
26504,Watertown,2859.75
26601,Milbank,1801.87
26602,Sisseton,3112.3801
26603,East Corson,3657.8901
26604,Mobridge,1515.64
26605,Aberdeen,6550.46
26701,Bemidji,7113.1802
26702,Grafton,5029.71
26703,Thief River Falls,2863.71
26704,Grand Forks,5015.9302
26801,Fargo,5895.1001
26802,Lisbon,2873.0901
26803,Jamestown,4962.5601
26804,Cooperstown,716.21002
26901,Fergus Falls,4812.8101
26902,Little Falls,2675.78
27001,O'Neill,3538.05
27002,Ord,2283.7
27003,Ainsworth,3011.27
27004,Winner,2671.02
27005,Yankton,2999.6399
27006,Mitchell,2155.3101
27007,Huron,1797.6001
27008,Parkston,2398.8801
27009,Chamberlain,3041.2
27010,Miller,2307.0
27011,Pierre,3387.8301
27012,Gettysburg,898.4699699999999
27101,Willmar,3743.76
27102,Marshall,2218.99
27201,Sioux Center,1929.63
27202,Worthington,3209.8899
27301,Spencer,2520.1799
27302,Fairmont,1853.63
27401,Storm Lake,2168.1599
27402,Fort Dodge,3465.3999
27501,Des Moines,4629.9702
27502,Creston,1930.05
27503,Atlantic,1600.03
27504,Carroll,1856.47
27601,Rapid City,12642.358999999999
27602,Eagle Butte,4417.04
27603,Southwest Jackson,3698.78
27604,Murdo,971.75
27605,Mission,2700.8701
27701,Scottsbluff,7468.1699
27702,Cheyenne,4836.75
27703,Torrington,4343.3301
27704,Gordon,5757.54
27801,Norfolk,2439.97
27802,Columbus,2827.55
27901,Hastings,1712.79
27902,York,1593.83
27903,Grand Island,2169.1699
28001,Sioux City,4101.1299
28002,West Point,1467.97
28101,Lincoln,3434.0701
28102,Nebraska City,2396.8201
28201,Red Oak,2437.28
28202,Omaha,4950.5898
28301,Sterling,7426.25
28302,Ogallala,2984.6499
28303,Oshkosh,1731.15
28304,Valentine,8233.04
28305,Broken Bow,4004.29
28306,North Platte,4006.51
28401,Colorado Springs,4962.71
28402,Limon,2586.5601
28501,Springfield,2557.24
28502,Pueblo,7653.7603
28503,Trinidad,6369.1001
28504,Burlington,5729.0801
28601,Oberlin,1964.02
28602,Norton,881.4199800000001
28603,Phillipsburg,1791.4
28604,Colby,4116.3501
28605,Goodland,1970.2
28606,Wano,1941.73
28607,McCook,3047.76
28608,Kearney,2639.25
28609,Lexington,4297.5698
28701,Salida,1015.07
28702,Glenwood Springs,6624.4702
28703,Granby,1869.7
28704,Laramie,5930.0801
28800,Fort Collins,7949.73
28900,Denver,9139.1504
29001,Pratt,2594.73
29002,Coldwater,789.75
29003,Dodge City,3806.3
29004,Great Bend,3790.45
29005,Hutchinson,2723.1299
29006,Hays,2698.6401
29007,Township 11,1794.12
29008,Center,1792.5499
29101,Concordia,2353.3799
29102,Superior,1151.36
29103,Beloit,1612.96
29104,Salina,2163.23
29201,Hiawatha,1291.6599
29202,Marysville,1803.29
29203,Manhattan,4099.2402
29204,Topeka,3764.8799
29301,Wichita,5310.5801
29302,Newton,2395.4199
29303,Winfield,3580.6101
29401,Ottawa,2171.79
29402,Emporia,2287.8999
29403,Bartlesville,3463.0601
29501,Leavenworth,903.4199800000001
29502,Kansas City,6884.7998
29503,St. Joseph,3096.3999
29504,Sedalia,2873.49
29505,Polk,1894.29
29506,Bethany,1485.11
29601,Columbia,4010.7
29602,Eldon,1922.8201
29700,Springfield,5698.7603
29800,Monett,2566.8601
29901,Joplin,3577.8699
29902,Center,2438.77
30000,Russellville,3813.78
30100,Fort Smith,7103.8999
30200,Muskogee,2905.01
30300,Fayetteville,4002.1299
30401,Stillwater,1439.6799
30402,Tulsa,8149.7598
30403,Okmulgee,1331.3
30501,Woodward,3519.0498
30502,Enid,7140.5098
30601,El Paso,9401.8896
30602,Alamogordo,11459.48
30603,Truth or Consequences,4236.5898
30604,Deming,10379.49
30605,Van Horn,3812.9399
30701,Roswell,10273.4
30702,Santa Rosa,5365.8301
30801,Hobbs,7587.9902
30802,Lubbock,5276.1401
30901,Clovis,4748.0898
30902,Littlefield,2744.6201
30903,Amarillo,5758.29
30904,Pampa,4584.8198
30905,Wellington,1834.87
30906,Memphis,2738.8601
30907,Matador,989.87
30908,Plainview,2898.1699
31001,Garden City,3749.6699
31002,Ulysses,1983.0
31003,Scott City,2214.3401
31004,Liberal,3437.95
31005,Perryton,2770.8999
31006,Guymon,5543.5
31007,Dumas,3878.3501
31101,Victoria,5518.5698
31102,La Grange,1933.6
31103,Gonzales,1069.91
31201,Austin,6651.2803
31202,Burnet,1986.4299
31301,San Antonio,9606.9902
31302,Beeville,1633.97
31303,Kerrville,2169.3398
31304,Mason,932.26001
31401,Midland,6248.1499
31402,Pecos,4996.1099
31403,Fort Stockton,7572.7695
31404,Alpine,12314.53
31501,Crystal City,2636.3999
31502,Pearsall,2628.75
31503,Laredo,5570.0898
31600,Brownsville,4872.8501
31700,Corpus Christi,9864.3096
31800,College Station,2935.1799
31900,Pearland,4304.3799
32000,Houston,9086.5801
32100,Beaumont,6343.2402
32201,Huntsville,4089.48
32202,Nacogdoches,2984.9099
32301,San Angelo,5754.7002
32302,Brady,3124.3999
32303,Junction,2153.3401
32304,Uvalde,5833.4497
32305,Del Rio,6956.04
32306,Eagle Pass,1291.84
32401,Big Spring,4789.6299
32402,Sweetwater,1815.8301
32403,Snyder,2726.5601
32501,Abilene,5527.0303
32502,Childress,1615.3199
32503,Haskell,4504.7803
32601,Wichita Falls,2675.1199
32602,Graham,2766.6201
32603,Seymour,901.0800199999999
32604,Vernon,2382.95
32701,Brownwood,4126.8599
32702,Stephenville,2874.0701
32801,Waco,3822.5601
32802,Corsicana,3992.1599
32900,Killeen,2858.02
33000,Fort Worth,6017.7803
33100,Dallas,5558.6797
33200,Paris,4201.9199
33300,Tyler,5594.1401
33400,Longview,3964.78
33500,Texarkana,4268.04
33601,Lawton,3390.97
33602,Altus,3017.27
33603,Frederick,879.2899800000001
33700,Ardmore,3689.76
33801,Elk City,4061.9302
33802,Chickasha,2395.79
33803,Oklahoma City,6816.8301
33901,Ada,3051.5601
33902,Sherman,2821.97
34001,Hot Springs,5611.25
34002,Idabel,5568.8799
34101,Sand Point,15011.77
34102,Anchorage,48858.25
34103,Valdez,43515.672
34104,Bristol Bay,917.60999
34105,Kotzebue,40660.961
34106,Nome,28276.17
34107,Dillingham,49621.359000000004
34108,Kodiak,11845.9
34109,Juneau,5835.2202
34110,Sitka,4849.75
34111,Ketchikan,1743.55
34112,Bethel,65634.672
34113,Barrow,93823.102
34114,Unalaska,14114.7
34115,Fairbanks,192675.08
34201,Havre,8602.2305
34202,Shelby,6622.77
34203,Great Falls,10872.188999999998
34204,Lewistown,6024.5596
34301,Cody,10127.95
34302,Worland,4249.1699
34303,Riverton,9266.21
34304,Sheridan,11716.72
34305,Miles City,5535.98
34306,Jordan,4847.6602
34307,Colstrip,9309.1201
34308,Billings,9563.4404
34309,Harlowton,3823.2402
34401,Dillon,5572.3501
34402,Bozeman,10910.608999999999
34403,Helena,6395.46
34404,Butte,5526.1401
34501,Bonners Ferry,1278.2
34502,Libby,3675.22
34503,Kalispell,9700.5303
34504,Missoula,6242.21
34601,Gillette,10072.43
34602,Rawlins,7964.4399
34603,Casper,9641.2002
34604,Lusk,2627.99
34701,Honolulu,2126.98
34702,Kauai,1266.45
34703,Maui,2451.2002
34801,Las Vegas,10437.89
34802,Santa Fe,10121.6
34803,Tucumcari,5008.0801
34804,Clayton,3831.0
34805,Alamosa,8206.54
34901,Albuquerque,13839.88
34902,Socorro,13578.551000000001
35001,Phoenix,19395.49
35002,Safford,6490.0205
35100,Tucson,16646.98
35201,Grand Junction,8563.4004
35202,Gunnison,4383.1602
35300,Farmington,8981.7002
35401,Flagstaff,30899.5
35402,Cortez,11041.86
35500,Gallup,26635.01
35600,Hawaii,5086.9702
35701,Twin Falls,8210.4902
35702,Burley,3343.48
35801,Boise,14934.28
35802,Ontario,11814.3
35803,McCall,5103.96
35901,St. George,8324.6201
35902,Price,7549.23
35903,Moab,3694.3
35904,Richfield,7892.7202
35905,Loa,2466.6101
36000,Provo,12376.028999999999
36100,Salt Lake City,13090.8
36200,Logan,9772.71
36301,Pocatello,14084.89
36302,Salmon,9506.5996
36303,Jackson,4672.5601
36401,Steamboat Springs,10342.5
36402,Vernal,7755.5
36403,Soda Springs,2848.22
36404,Rock Springs,23414.051
36501,Klamath Falls,21408.23
36502,Burns,10227.05
36503,Lakeview,8359.0303
36600,Redding,6809.9102
36700,Eureka,7260.3101
36800,Medford,4443.6001
36901,Crescent City,3218.48
36902,Roseburg,6940.5098
37000,Modesto,7224.23
37100,Bakersfield,8162.0298
37200,Fresno,14402.271
37300,Chico,5413.1997
37400,Sacramento,10833.04
37500,San Jose,7074.1699
37601,Elko,35801.098
37602,Winnemucca,15726.311000000002
37603,Portola,3575.78
37604,Reno,14011.28
37700,Santa Rosa,6976.4399
37800,San Francisco,5119.8101
37901,Las Vegas,53947.890999999996
37902,Mineral,3813.1699
37903,Mammoth Lakes,13359.64
38000,San Diego,4525.9199
38100,Yuma,10001.4
38200,Santa Barbara,7405.29
38300,Los Angeles,39832.449
38401,Lewiston,13686.141000000001
38402,Pullman,3254.55
38501,Moses Lake,4721.1001
38502,Wenatchee,4842.6104
38601,Spokane,12200.9
38602,Colville,10113.5
38700,Longview,5986.0801
38801,Portland,6099.8398
38802,The Dalles,5664.6401
38901,Eugene,10368.08
38902,Newport,2526.75
39000,Yakima,6645.0195
39100,Kennewick,10478.34
39201,La Grande,5127.0103
39202,Enterprise,3151.78
39203,Bend,7833.7803
39204,Condon,2938.46
39205,John Day,4529.5298
39301,Friday Harbor,621.09003
39302,Bellingham,2503.6399
39303,Port Angeles,4854.1699
39400,Seattle,13575.03
