statisticalAreaCode ,statisticalArea ,year ,population_raw,population
UKJ3,Hampshire and Isle of Wight,1871,333967,465369.958142365
UKJ4,Kent,1871,510348,635175.251655279
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1871,706219,1137900.85573427
UKK2,Dorset and Somerset,1871,466378.5,654824.980667704
UKK3,Cornwall and Isles of Scilly,1871,345369.5,362072.369569225
UKK4,Devon,1871,436355,746230.334660592
UKL1,West Wales and The Valleys,1871,775944.75,1041287.30079643
UKL2,East Wales,1871,941617.25,386208.001263418
UKM5,North Eastern Scotland,1871,386042,362259.094546551
UKM6,Highlands and Islands,1871,413372,649322.389731126
UKM7,Eastern Scotland,1871,1007950.5,1138329.68650428
UKM8,West Central Scotland,1871,1194196,1126920.83356881
UKM9,Southern Scotland,1871,977214.5,828519.99217804
UKN0,Northern Ireland,1871,1359190,1359190
UKC1,Tees Valley and Durham,1881,329876,782940.468657665
UKC2,Northumberland and Tyne and Wear,1881,830142,854009.678249278
UKD1,Cumbria,1881,410762,425792.144140418
UKD3,Greater Manchester,1881,1866274,1921714.01443469
UKD4,Lancashire,1881,630792,816357.112421437
UKD6,Cheshire,1881,418184,365111.191824727
UKD7,Merseyside,1881,952923,1069229.66538888
UKE1,East Yorkshire and Northern Lincolnshire,1881,132228,427871.308153794
UKE2,North Yorkshire,1881,344723,479887.872012638
UKE3,South Yorkshire,1881,572686,589766.261103617
UKE4,West Yorkshire,1881,1430639,1481410.98151492
UKF1,Derbyshire and Nottinghamshire,1881,567910,781035.094710823
UKF2,Leicestershire  Rutland and Northamptonshire,1881,447746,579456.187294081
UKF3,Lincolnshire,1881,366962,382153.481839081
UKG1,Herefordshire  Worcestershire and Warwickshire,1881,544991,556768.801571709
UKG2,Shropshire and Staffordshire,1881,588868,828384.173244893
UKG3,West Midlands,1881,1159366,1197497.7418714
UKH1,East Anglia,1881,1036113,1167004.61196144
UKH2,Bedfordshire and Hertfordshire,1881,247013,340219.663711244
UKH3,Essex,1881,307297,389757.880070589
UKI3,Inner London - West,1881,1245000,1276248.84289688
UKI4,Inner London - East,1881,2463000,2517760.23745604
UKI5,Outer London - East and North East,1881,311000,314275.451782933
UKI6,Outer London - South,1881,235000,236992.332759883
UKI7,Outer London - West and North West,1881,271000,273441.508016731
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1881,661713,767494.501983549
UKJ2,Surrey  East and West Sussex,1881,585091,684671.387072877
UKJ3,Hampshire and Isle of Wight,1881,355597,495510.51752284
UKJ4,Kent,1881,560912,698106.822710123
