key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
BH10,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH11,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH12,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH13,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH14,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH15,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH16,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Dorset,UKK25
BH17,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH18,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH19,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Dorset,UKK25
BH2,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH20,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Dorset,UKK25
BH21,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Dorset,UKK25
BH22,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Dorset,UKK25
BH23,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH24,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
BH25,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
BH3,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH31,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Dorset,UKK25
BH4,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH5,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH6,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH7,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH8,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BH9,GBR,South West (England),UKK,Dorset and Somerset,UKK2,"Bournemouth, Christchurch and Poole",UKK24
BL0,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North East,UKD37
BL1,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL11,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL2,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL3,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL4,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL5,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL6,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL7,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL78,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North West,UKD36
BL8,GBR,North West (England),UKD,Greater Manchester,UKD3,Greater Manchester North East,UKD37
