key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
CH64,GBR,North West (England),UKD,Cheshire,UKD6,Cheshire West and Chester,UKD63
CH65,GBR,North West (England),UKD,Cheshire,UKD6,Cheshire West and Chester,UKD63
CH66,GBR,North West (England),UKD,Cheshire,UKD6,Cheshire West and Chester,UKD63
CH7,GBR,Wales,UKL,East Wales,UKL2,Flintshire and Wrexham,UKL23
CH70,GBR,North West (England),UKD,Cheshire,UKD6,Cheshire West and Chester,UKD63
CH8,GBR,Wales,UKL,East Wales,UKL2,Flintshire and Wrexham,UKL23
CH88,GBR,North West (England),UKD,Cheshire,UKD6,Cheshire West and Chester,UKD63
CH99,GBR,North West (England),UKD,Cheshire,UKD6,Cheshire West and Chester,UKD63
CM0,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM1,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM11,GBR,East of England,UKH,Essex,UKH3,Essex Thames Gateway,UKH37
CM12,GBR,East of England,UKH,Essex,UKH3,Essex Thames Gateway,UKH37
CM13,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM14,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM15,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM16,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM17,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM18,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM19,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM2,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM20,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM21,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
CM22,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM23,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
CM24,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM3,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM4,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM5,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM6,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM7,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CM77,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CM8,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CM9,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM92,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
CM98,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CM99,GBR,East of England,UKH,Essex,UKH3,Heart of Essex,UKH36
CO1,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO10,GBR,East of England,UKH,East Anglia,UKH1,Suffolk,UKH14
CO11,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO12,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO13,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO14,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO15,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO16,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
CO2,GBR,East of England,UKH,Essex,UKH3,Essex Haven Gateway,UKH34
