statisticalAreaCode,statisticalArea,year,population
DE11,Stuttgart,1939,1860000.0
DE12,Karlsruhe,1939,1317000.0
DE13,Freiburg,1939,1234000.0
DE14,Tübingen,1939,1066000.0
DE21,Oberbayern,1939,1816000.0
DE22,Niederbayern,1939,825000.0
DE23,Oberpfalz,1939,687000.0
DE24,Oberfranken,1939,827000.0
DE25,Mittelfranken,1939,1089000.0
DE26,Unterfranken,1939,832000.0
DE27,Schwaben,1939,960000.0
DE30,Berlin,1939,4322000.0
DE40,Brandenburg,1939,2391000.0
DE50,Bremen,1939,445000.0
DE60,Hamburg,1939,1698000.0
DE71+DE72,Darmstadt and Gießen,1939,2968000.0
DE73,Kassel,1939,1111000.0
DE80,Mecklenburg-Vorpommern,1939,1773000.0
DE91+DE92,Braunschweig und Hannover,1939,2208000.0
DE93,Lüneburg,1939,1110000.0
DE94,Weser-Ems,1939,1265000.0
DEA1,Düsseldorf,1939,4083000.0
DEA2,Köln,1939,2242000.0
DEA3,Münster,1939,1598000.0
DEA4,Detmold,1939,1152000.0
DEA5,Arnsberg,1939,3403000.0
DEB1,Koblenz,1939,1062000.0
DEB2,Trier,1939,440000.0
DEB3,Rheinhessen-Pfalz,1939,1434000.0
DEC0,Saarland,1939,824000.0
DED2,Dresden,1939,1902000.0
DED4,Chemnitz,1939,2259000.0
DED5,Leipzig,1939,1358000.0
DEE0,Sachsen-Anhalt,1939,3340000.0
DEF0,Schleswig-Holstein,1939,1539000.0
DEG0,Thüringen,1939,2034000.0
DE11,Stuttgart,1946,
DE12,Karlsruhe,1946,
DE13,Freiburg,1946,
DE14,Tübingen,1946,
DE21,Oberbayern,1946,
DE22,Niederbayern,1946,
DE23,Oberpfalz,1946,
DE24,Oberfranken,1946,
DE25,Mittelfranken,1946,
DE26,Unterfranken,1946,
DE27,Schwaben,1946,
DE30,Berlin,1946,
DE40,Brandenburg,1946,
DE50,Bremen,1946,
DE60,Hamburg,1946,
DE71+DE72,Darmstadt and Gießen,1946,
DE73,Kassel,1946,
DE80,Mecklenburg-Vorpommern,1946,
DE91+DE92,Braunschweig und Hannover,1946,
DE93,Lüneburg,1946,
DE94,Weser-Ems,1946,
DEA1,Düsseldorf,1946,
DEA2,Köln,1946,
DEA3,Münster,1946,
DEA4,Detmold,1946,
DEA5,Arnsberg,1946,
DEB1,Koblenz,1946,
DEB2,Trier,1946,
DEB3,Rheinhessen-Pfalz,1946,
DEC0,Saarland,1946,
DED2,Dresden,1946,
DED4,Chemnitz,1946,
DED5,Leipzig,1946,
DEE0,Sachsen-Anhalt,1946,
DEF0,Schleswig-Holstein,1946,
DEG0,Thüringen,1946,
DE11,Stuttgart,1950,2435000.0
DE12,Karlsruhe,1950,1473000.0
DE13,Freiburg,1950,1339000.0
DE14,Tübingen,1950,1184000.0
DE21,Oberbayern,1950,2456000.0
DE22,Niederbayern,1950,1081000.0
DE23,Oberpfalz,1950,897000.0
DE24,Oberfranken,1950,1116000.0
DE25,Mittelfranken,1950,1284000.0
DE26,Unterfranken,1950,1038000.0
DE27,Schwaben,1950,1312000.0
DE30,Berlin,1950,3336000.0
DE40,Brandenburg,1950,2746000.0
DE50,Bremen,1950,559000.0
DE60,Hamburg,1950,1606000.0
DE71+DE72,Darmstadt and Gießen,1950,3063000.0
DE73,Kassel,1950,1261000.0
DE80,Mecklenburg-Vorpommern,1950,2253000.0
DE91+DE92,Braunschweig und Hannover,1950,3274000.0
DE93,Lüneburg,1950,1646000.0
DE94,Weser-Ems,1950,1877000.0
DEA1,Düsseldorf,1950,4302000.0
DEA2,Köln,1950,2443000.0
DEA3,Münster,1950,1910000.0
DEA4,Detmold,1950,1500000.0
DEA5,Arnsberg,1950,3042000.0
DEB1,Koblenz,1950,1140000.0
DEB2,Trier,1950,429000.0
DEB3,Rheinhessen-Pfalz,1950,1436000.0
DEC0,Saarland,1950,955000.0
DED2,Dresden,1950,1981000.0
DED4,Chemnitz,1950,2334000.0
DED5,Leipzig,1950,1652000.0
DEE0,Sachsen-Anhalt,1950,3641000.0
DEF0,Schleswig-Holstein,1950,2595000.0
DEG0,Thüringen,1950,2693000.0
DE11,Stuttgart,1960,3038000.0
