statisticalAreaCode,statisticalArea,area,country_code
FRE22,Oise,5860.00,FR
FRD13,Orne,6103.00,FR
FRE12,Pas-de-Calais,6671.00,FR
FRK14,Puy-de-Dôme,7970.00,FR
FRI15,Pyrénées-Atlantiques,7645.00,FR
FRJ26,Hautes-Pyrénées,4464.00,FR
FRJ15,Pyrénées-Orientales,4116.00,FR
FRF11,Bas-Rhin,4755.00,FR
FRF12,Haut-Rhin,3525.00,FR
FRK26,Circonscription départementale du Rhône,3249.00,FR
FRC23,Haute-Saône,5360.00,FR
FRC13,Saône-et-Loire,8575.00,FR
FRG04,Sarthe,6206.00,FR
FRK27,Savoie,6028.00,FR
FRK28,Haute-Savoie,4388.00,FR
FR101,Paris,105,FR
FRD22,Seine-Maritime,6278.00,FR
FR102,Seine-et-Marne,5915.00,FR
FR103,Yvelines,2284.00,FR
FRI33,Deux-Sèvres,5999.00,FR
FRE23,Somme,6170.00,FR
FRJ27,Tarn,5758.00,FR
FRJ28,Tarn-et-Garonne,3718.00,FR
FRL05,Var,5973.00,FR
FRL06,Vaucluse,3567.00,FR
FRG05,Vendée,6720.00,FR
FRI34,Vienne,6990.00,FR
FRI23,Haute-Vienne,5520.00,FR
FRF34,Vosges,5874.00,FR
FRC14,Yonne,7427.00,FR
FRC24,Territoire de Belfort,609,FR
FR104,Essonne,1804.00,FR
FR105,Hauts-de-Seine,176,FR
FR106,Seine-Saint-Denis,236,FR
FR107,Val-de-Marne,245,FR
FR108,Val-d'Oise,1246.00,FR
FRY10,Guadeloupe,1628.00,FR
FRY20,Martinique,1128.00,FR
FRY30,Guyane,83534.00,FR
FRY40,La Réunion,2504.00,FR
FRY50,Mayotte,376,FR
00100,Johnson City,3987.6499,US
00200,Morristown,1833.52,US
00301,Middlesborough,1026.4299,US
00302,Knoxville,3347.1499,US
00401,Winston-Salem,2011.04,US
00402,Martinsville,881.2999900000002,US
00500,Greensboro,4472.2798,US
00601,North Wilkesboro,1186.77,US
00602,Galax,1167.36,US
00700,Spartanburg,1971.05,US
00800,Gastonia,1705.2,US
00900,Charlotte,4857.04,US
01001,Boone,862.73999,US
01002,Morganton,1496.62,US
01100,Hickory,1744.55,US
01201,Franklin,896.4500099999998,US
01202,Sylva,1336.62,US
01203,Asheville,2421.9299,US
01204,Andrews,1188.35,US
01301,Bennettsville,1291.14,US
01302,Florence,5498.3301,US
01400,Fayetteville,4009.6201,US
01500,Wilmington,4151.4702,US
01600,Rocky Mount,1423.62,US
01701,Raleigh,5357.3501,US
01702,Henderson,713.6799900000002,US
01800,Goldsboro,2323.3799,US
01900,Jacksonville,5385.6602,US
02000,Virginia Beach,3449.03,US
02100,Washington,5431.0698,US
02200,South Boston,3957.96,US
02300,Lynchburg,2146.8301,US
02400,Richmond,4492.2402,US
02500,Newport News,2764.6499,US
02600,Roanoke Rapids,2687.0698,US
02700,Gulfport,5041.5498,US
02800,Laurel,2828.1399,US
02900,Hattiesburg,2445.0701,US
03001,Kosciusko,1501.39,US
03002,Yazoo City,1365.4,US
03003,Jackson,4991.48,US
03101,McComb,2783.3,US
03102,Brookhaven,1023.98,US
03201,Jena,1401.9199,US
03202,Natchez,2443.05,US
03203,Vicksburg,2298.0901,US
03300,New Orleans,8031.21,US
03400,Houma,5035.9004,US
03500,Baton Rouge,5038.1001,US
03600,Alexandria,2892.3799,US
03700,Lake Charles,6958.1899,US
03800,Lafayette,5932.3599,US
03901,Monroe,4084.1799,US
03902,Lake Providence,802.83997,US
04001,Magnolia,1312.05,US
04002,Shreveport,6604.5303,US
04003,Ruston,2009.6599,US
04004,Many,1011.59,US
04101,Crossett,939.15997,US
04102,Pine Bluff,5085.4399,US
04103,El Dorado,3095.8601,US
04200,Little Rock,4765.2197,US
04301,Stuttgart,2331.1201,US
04302,Searcy,2278.02,US
04401,Corbin,1747.75,US
04402,Richmond,1363.53,US
04501,West Liberty,1511.29,US
04502,Hazard,1907.15,US
